IE_XML_ID;IE_NAME;IE_ACTIVE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_CODE;IP_PROP290;IP_PROP291;IP_PROP292;IP_PROP293;IP_PROP294;IP_PROP295;IP_PROP296;IP_PROP297;IP_PROP298;IP_PROP299;IP_PROP300;IP_PROP301;IP_PROP302;IP_PROP303;IP_PROP304;IP_PROP305;IP_PROP306;IP_PROP311;IP_PROP313;IP_PROP314;IC_GROUP0;IC_ACTIVE0;IC_GROUP1;IC_ACTIVE1;IC_GROUP2;IC_ACTIVE2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
1541;Входная дверь Токио для дома и квартиры;N;;/upload/iblock/2ed/2edf47caea6fd9e17b15d3d7fec6d2ce.jpg;"&lt;p&gt;Дверь «Токио» — это яркий образец японской сдержанности и строгости геометрических форм. Прекрасный внешний вид позволяет данной модели идеально вписаться практически в любой интерьер, а высокие показатели безопасности стать надёжной защитой для Вашей семьи. Устанавливая дверь из линейки «City», вы делаете ставку на шумо- и теплоизоляцию, высший класс герметичности и сопротивления взлому.&nbsp;&nbsp;Фурнитура, помимо внешней привлекательности, имеет сертификаты качества и высшие классы безопасности.&lt;/p&gt;<br />
&lt;p&gt;Антивандальное покрытие Винорит отличается экологичностью, прекрасным внешним видом и невероятной прочностью. Такие двери подходят для установки на границе улица-дом, имеют защиту от УФ-лучей, перепадов температуры, влажности и механических повреждений.&lt;/p&gt;<br />
";vkhodnaya_dver_tokio_dlya_doma_i_kvartiry;/upload/iblock/951/9510a2f322aa215fbcc3c4f88eace594.jpg;/upload/iblock/47f/47fe9f92a345225ce10c0616669b3a4c.jpg;3;706;Винорит;МДФ влагостойкий ;;16 мм;рис. Н-51;цвет «Дуб беленый» ;Винорит;МДФ влагостойкий;;16 мм;рис. Н-51;цвет «Дуб темный»;333;Токио;Для квартиры;от 1980 мм до 2380 мм;;;;;;;0;0;0;0;0;;;;
1541;Входная дверь Токио для дома и квартиры;N;;/upload/iblock/2ed/2edf47caea6fd9e17b15d3d7fec6d2ce.jpg;"&lt;p&gt;Дверь «Токио» — это яркий образец японской сдержанности и строгости геометрических форм. Прекрасный внешний вид позволяет данной модели идеально вписаться практически в любой интерьер, а высокие показатели безопасности стать надёжной защитой для Вашей семьи. Устанавливая дверь из линейки «City», вы делаете ставку на шумо- и теплоизоляцию, высший класс герметичности и сопротивления взлому.&nbsp;&nbsp;Фурнитура, помимо внешней привлекательности, имеет сертификаты качества и высшие классы безопасности.&lt;/p&gt;<br />
&lt;p&gt;Антивандальное покрытие Винорит отличается экологичностью, прекрасным внешним видом и невероятной прочностью. Такие двери подходят для установки на границе улица-дом, имеют защиту от УФ-лучей, перепадов температуры, влажности и механических повреждений.&lt;/p&gt;<br />
";vkhodnaya_dver_tokio_dlya_doma_i_kvartiry;/upload/iblock/951/9510a2f322aa215fbcc3c4f88eace594.jpg;/upload/iblock/47f/47fe9f92a345225ce10c0616669b3a4c.jpg;3;706;Винорит;МДФ влагостойкий ;;16 мм;рис. Н-51;цвет «Дуб беленый» ;Винорит;МДФ влагостойкий;;16 мм;рис. Н-51;цвет «Дуб темный»;333;Токио;Для дома;от 1980 мм до 2380 мм;;;;;;;0;0;0;0;0;;;;
1542;Входная дверь Стиль 80.01 для квартиры и офиса;Y;;/upload/iblock/a2e/a2e5144a2afc29f0a57df74bf70110d2.jpg;"<p>
	 «Стиль 80.01» — это новое название двери «Новосел-2».<br>
</p>
<p>
	 Коллекция «Новосел» объединяет в себе прекрасный внешний вид и достойные технические характеристики. Модель «Стиль 80.01» внутри покрыта ПВХ, снаружи — полимером. ПВХ — это поливинилхлоридное покрытие, обладающее отличной устойчивостью к скачкам температур и изменениям влажности воздуха. Оно экологичное, легко чистится и долгое время сохраняет свой первоначальный вид. Металлические конструкции окрашиваются с помощью порошково-полимерного покрытия на основе полиэфиров. Данный метод позволяет создать долговечное покрытие, защищающее Ваш дом даже при самых суровых погодных условиях.
</p>
<p>
	 Для защиты сувальдных замков от взлома установлена специальная стальная пластина толщиной 1,2 мм, а врезная броненакладка CRIT надежно защищает цилиндрический замок от высверливания. Дверь имеет высший уровень по сопротивляемости взлому, коэффициент теплопередачи, герметичности и прочности покрытия.
</p>";vkhodnaya_dver_style_80_01_dlya_kvartiry_i_ofisa;/upload/iblock/cee/cee4f1b5fb98fcd07fc120daad199b86.jpg;/upload/iblock/1c8/1c83a9938776ce879437c46dca545a7b.jpg;2;705;ПВХ;МДФ;;10 мм;фрезеровка «Спарта-4» ;цвет «Тиковое дерево»;;Металл 1.2 мм;;;;полимер «Черный шелк» ;346;Стиль 80.01;Для квартиры;2050 мм;;;;;;;0;0;0;0;0;;;;
1543;Входная дверь Линия светлая для квартиры;Y;;/upload/iblock/617/617b8d220c66671eb8a39d951bb5f269.jpg;"<p>
	 Двери «Стальная линия» созданы удивлять! Строгость и чёткость форм, лаконичность, утончённый стиль и надёжность — это лишь некоторые из преимуществ моделей серии «City».
</p>
<p>
	 Дверь «Линия» радует своими характеристиками. Она покрыта экошпоном — натуральным материалом, который отличается экологичностью, прочностью и невысокой ценой. На ощупь он напоминает ламинат с ярко выраженной структурой дерева и выглядит как натуральная древесина. Надёжность двери не вызывает сомнений — модели присвоена 5 категория по сопротивляемости взлому, а также высший класс по герметичности и прочности покрытия. В зоне замков расположены усиливающие стальные пластины толщиной 3 мм, установлены специальные противосъёмные ригели.
</p>
<p>
	 Фурнитура от лучших мировых производителей обладает не менее внушительными характеристиками безопасности, при этом сохраняя внешнюю привлекательность и функциональность.
</p>
 <br>";vkhodnaya_dver_liniya_svetlaya_dlya_kvartiry;/upload/iblock/c96/c96fc7362e2734d0bd0284008ce2c916.jpg;/upload/iblock/db8/db8f5f6f19df5e95dd590bd6f790bf5b.jpg;2;706;Экошпон;МДФ;;16 мм;рис. Н-16;цвет «Пломбир»;Экошпон;МДФ;;16 мм;рис. Н-16;цвет «Венге темный»;482;Линия светлая;Для квартиры;2060 мм;;;;;;;0;0;0;0;0;;;;
1544;Металлическая дверь Монарх для дома;N;;/upload/iblock/f2c/f2c697654e73e8ec5799572965649982.jpg;"<p>
	 Коллекция «Art» вобрала в себя самые необычные дизайнерские решения, а также уникальные показатели прочности, надежности и безопасности. Достаточно только раз взглянуть на дверь «Монарх», чтобы отметить её несомненные достоинства: двухкамерный стеклопакет с кованой решеткой, уникальная фрезеровка и плавность линий покорят даже самого требовательного покупателя. Покрытие Винорит имеет защиту от повреждений, устойчиво к перепадам температур и не поддаётся воздействию УФ-лучей.
</p>
<p>
	 Изысканность и живописность рисунка подчеркнуты патиной, которая наносится вручную. При изготовлении дверей используются гнутые профили, противосъемные ригели, а также вертикальная и горизонтальная система рёбер, которая защищает от попытки взлома путём скручивания. Замки защищены броненакладкой, имеют высшие уровни безопасности, а фурнитура отличается высоким качеством и долговечностью.
</p>";metallicheskaya_dver_monarkh;/upload/iblock/954/954c24aebb16224a8218361ea342f743.jpg;/upload/iblock/05a/05a86567aa65f7f445a14acb859ecfa1.jpg;3;706;Винорит;МДФ влагостойкий ;патина темная;16 мм;рис. Н-54 О-Д ;цвет «Дуб темный»;Винорит;МДФ влагостойкий;патина темная ;16 мм;рис. Н-54 О-Д;цвет «Дуб темный»;391;Монарх;Для дома;от 2000 мм до 2380 мм;;;;;;;0;0;0;0;0;;;;
1545;Металлическая дверь Миллениум темная для квартиры;Y;;/upload/iblock/eea/eead0bcbe34805b5db86c8d067de294c.jpg;"&lt;p&gt;Двери коллекции «City New» созданы для ярких, активных и современных жителей города. Минималистичный дизайн, чёткие линии и строгость форм — стильное дополнение любого интерьера в сочетании с невероятной надёжностью и долговечностью.&lt;/p&gt;<br />
&lt;p&gt;Модель «Миллениум» изготовлена из цельного металлического листа, что увеличивает уровень надёжности, а также устойчивость к разного рода повреждениям. Для улучшения тепло- и шумоизоляции используется 2 контура уплотнения и финский утеплитель ISOVER.&lt;/p&gt;<br />
&lt;p&gt;Двери имеют антивандальное покрытие Vinorit, которое защищает от ультрафиолета, устойчиво к перепадам температуры, влажности, механическим повреждениям и не выделяет вредных веществ.&lt;/p&gt;<br />
&lt;p&gt;Фурнитура, установленная в дверях «Миллениум», закупается только у проверенных производителей. Все замки имеют 3 и 4 класс безопасности, что позволяет защитить дверь от взлома.&lt;/p&gt;";metallicheskaya_dver_millenium_dlya_kvartiry;/upload/iblock/afb/afbdd3df005c3b558ede3f84a1cf0455.jpg;/upload/iblock/99e/99e9ddea6f759aa68b079614224b74e4.jpg;2;706;Экошпон;МДФ;;16 мм;фрезеровка «Техно-1» ;цвет «Венге темный»;Экошпон;МДФ;;16 мм;рис. Н-55;цвет «Венге темный»;807;Миллениум тёмная;Для квартиры;2060 мм;;;;;;;0;0;0;0;0;;;;
1546;Металлическая дверь Легран 06 для квартиры;Y;;/upload/iblock/6ab/6aba38476ca89c2a05a889a157803826.png;"<p>
	 Модель «Легран 06» изготовлена из цельного металлического листа, что увеличивает уровень надёжности, а также устойчивость к разного рода повреждениям. Для улучшения тепло- и шумоизоляции используется 2 контура уплотнения и финский утеплитель ISOVER.<br>
</p>
<p>
	 Двери имеют антивандальное покрытие Vinorit, которое защищает от ультрафиолета, устойчиво к перепадам температуры, влажности, механическим повреждениям и не выделяет вредных веществ.
</p>
<p>
	 Фурнитура, установленная в дверях «Легран 06», закупается только у проверенных производителей. Все замки имеют 3 и 4 класс безопасности, что позволяет защитить дверь от взлома.
</p>";metallicheskaya_dver_legran_06_dlya_kvartiry;/upload/iblock/ab9/ab981723da1eabea369b0fb6124f1816.png;/upload/iblock/8ca/8ca74cdb4346a57462342ad6352f51ea.png;2;706;Экошпон;МДФ;;16 мм;;цвет «Эшвайт Мелинга», черное стекло;Экошпон;МДФ;;10 мм;рис. Н-64;цвет «Венге темный»;808;Легран 06;Для квартиры;2050 мм;;;;;;;0;0;0;0;0;;;;
1547;Металлическая дверь Легран 05 для квартиры;Y;;/upload/iblock/cfe/cfe4da80ec39073d77c4e42964a890ab.png;"<p>
	 Модель «Легран 05» изготовлена из цельного металлического листа, что увеличивает уровень надёжности, а также устойчивость к разного рода повреждениям. Для улучшения тепло- и шумоизоляции используется 2 контура уплотнения и финский утеплитель ISOVER.<br>
</p>
<p>
	 Двери имеют антивандальное покрытие Vinorit, которое защищает от ультрафиолета, устойчиво к перепадам температуры, влажности, механическим повреждениям и не выделяет вредных веществ.
</p>
<p>
	 Фурнитура, установленная в дверях «Легран 05», закупается только у проверенных производителей. Все замки имеют 3 и 4 класс безопасности, что позволяет защитить дверь от взлома.
</p>";metallicheskaya_dver_legran_05_dlya_kvartiry;/upload/iblock/477/477a21d98391f337ef5ce7c722760966.png;/upload/iblock/6b0/6b0195432c71377ce57b0dc729728045.png;2;706;Экошпон;МДФ;;16 мм;;цвет «Эшвайт Мелинга», белое стекло;Экошпон;МДФ;;10 мм;рис. Н-64;цвет «Венге темный»;809;Легран 05;Для квартиры;2050 мм;;;;;;;0;0;0;0;0;;;;
1548;Входная дверь Миллениум светлая для квартиры;Y;;/upload/iblock/268/2680ac5afa74c25ebbcf955cdc633800.jpg;"&lt;p&gt;Двери коллекции «City New» созданы для ярких, активных и современных жителей города. Минималистичный дизайн, чёткие линии и строгость форм — стильное дополнение любого интерьера в сочетании с невероятной надёжностью и долговечностью.&lt;/p&gt;<br />
&lt;p&gt;Модель «Миллениум» изготовлена из цельного металлического листа, что увеличивает уровень надёжности, а также устойчивость к разного рода повреждениям. Для улучшения тепло- и шумоизоляции используется 2 контура уплотнения и финский утеплитель ISOVER.&lt;/p&gt;<br />
&lt;p&gt;Двери имеют антивандальное покрытие Vinorit, которое защищает от ультрафиолета, устойчиво к перепадам температуры, влажности, механическим повреждениям и не выделяет вредных веществ.&lt;/p&gt;<br />
&lt;p&gt;Фурнитура, установленная в дверях «Миллениум», закупается только у проверенных производителей. Все замки имеют 3 и 4 класс безопасности, что позволяет защитить дверь от взлома.&lt;/p&gt;";vkhodnaya_dver_millenium_dlya_kvartiry;/upload/iblock/791/791b4e4a8bea30950096d187bdcc78ce.jpg;/upload/iblock/973/97399336aca7c85936ea256981026f93.jpg;2;706;Экошпон;МДФ;;16 мм;фрезеровка «Техно-1» ;цвет «Пломбир»;Экошпон;МДФ;;16 мм;рис. Н-55;цвет «Венге темный»;484;Миллениум светлая;Для квартиры;2060 мм;;;;;;;0;0;0;0;0;;;;
1549;Входная дверь Триумф для квартиры;N;;/upload/iblock/cce/ccebd1d0524f3b9cdfe94301c97c9aee.jpg;"&lt;p&gt;Благородный внешний вид, сдержанность и строгость форм, традиционность и практичность — это лишь некоторые особенности дверей коллекции «Classic». Модель «Триумф» отличается самыми высокими показателями безопасности, прошла все сертификационные тесты и испытания на производстве. Двери присвоена 5 категория сопротивляемости взлому, высший класс по герметичности, превышающий стандартную норму коэффициент теплопередачи, шумоизоляция 45 дБА, а также 1-й балл прочности покрытия.&lt;/p&gt;<br />
&lt;p&gt;Покрытая виноритом, она обладает защитой от атмосферных воздействий, ультрафиолета и царапин, очень долговечна и не выделяет опасных и вредных для здоровья веществ. Вся фурнитура имеет 3 и 4 &#40;высший&#41; классы безопасности, подтверждённые сертификатами качества.&lt;/p&gt;";vkhodnaya_dver_triumf_dlya_kvartiry;/upload/iblock/948/94893eb9278db1cb3e15e563e1640577.jpg;/upload/iblock/cd8/cd8089bc2f99594b6923408bd98543b3.jpg;2;706;ПВХ;МДФ;;16 мм;фрезеровка «Триумф»;цвет «Орех темный» ;ПВХ ;МДФ;;16 мм;фрезеровка «Триумф» ;цвет «Орех темный» ;343;Триумф;Для квартиры;от 1980 мм до 2380 мм;;;;;;;;;;;;;;;
